Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
tr|A0ZZQ5|A0ZZQ5_BIFAA	-	GT51(115-287)	GT51_e89	GT51	Y(1-55)	3
tr|A1A165|A1A165_BIFAA	2.4.1.18	CBM48(165-238)+GH13_9(301-601)	CBM48_e2+GH13_e200	CBM48+GH13_9	N	3
tr|A1A181|A1A181_BIFAA	3.2.1.68|2.4.1.25|3.2.1.-	CBM48(10-99)+GH13_11(179-532)	CBM48_e3+GH13_e48	CBM48+GH13_11	N	3
tr|A1A2P2|A1A2P2_BIFAA	3.2.1.21|3.2.1.-|3.2.1.37|3.2.1.55|3.2.1.23|3.2.1.45	GH3(32-252)	GH3_e197	GH3	N	3
tr|A1A2S4|A1A2S4_BIFAA	-	GH109(2-159)	GH109_e7	N	N	2
tr|A1A2Y5|A1A2Y5_BIFAA	3.2.1.21	GH1(5-385)	GH1_e38	GH1	N	3
tr|A1A334|A1A334_BIFAA	-	GT51(80-270)	GT51_e11	GT51	Y(1-44)	3
tr|A1A380|A1A380_BIFAA	-	GT2(10-169)	GT2	GT2	N	3
tr|A1A3Q9|A1A3Q9_BIFAA	3.2.1.20	GH13_30(33-403)	GH13_e234	GH13_30	N	3
tr|A1A3V1|A1A3V1_BIFAA	3.2.1.23	GH42(27-397)	GH42_e28	GH42	N	3
tr|A1A3V3|A1A3V3_BIFAA	3.2.1.23	GH2_10(45-903)	GH2_e1	GH2_10	N	3
tr|B7GMZ3|B7GMZ3_BIFLS	-	PL27(17-644)	PL27_e1	PL27	N	3
tr|B7GN40|B7GN40_BIFLS	3.2.1.51	GH29(18-360)	GH29_e85	GH29	N	3
tr|B7GNE9|B7GNE9_BIFLS	2.4.1.25	GH77(189-697)	GH77_e2	GH77	N	3
tr|B7GNN6|B7GNN6_BIFLS	3.2.1.23	GH2_10(46-903)	GH2_e1	GH2_10	N	3
tr|B7GNN7|B7GNN7_BIFLS	3.2.1.-|3.2.1.63	GH95(2-762)	GH95_e1	GH95	N	3
tr|B7GNN8|B7GNN8_BIFLS	3.2.1.111|3.2.1.51	GH29(21-353)	GH29_e30	GH29	N	3
tr|B7GNQ0|B7GNQ0_BIFLS	3.2.1.18	GH33(23-369)	GH33_e129	GH33	N	3
tr|B7GNT0|B7GNT0_BIFLS	-	GT2(11-163)	GT2	GT2	N	3
tr|B7GNT7|B7GNT7_BIFLS	-	GT111(1-219)+GT8(255-519)	GT111_e16+GT8_e174	GT111+GT8	N	3
tr|B7GNV9|B7GNV9_BIFLS	-	GH43_34(35-309)	GH43_e120	GH43_34	N	3
tr|B7GPB2|B7GPB2_BIFLS	5.4.99.11|3.2.1.20|3.2.1.10|3.2.1.-|3.2.1.70	GH13_31(46-412)	GH13_e122	GH13_31	N	3
tr|B7GPB9|B7GPB9_BIFLS	3.2.1.22	GH36(37-714)	GH36_e2	GH36	N	3
tr|B7GPD5|B7GPD5_BIFLS	-	GT2(8-141)	GT2	GT2	N	3
tr|B7GPK2|B7GPK2_BIFLS	3.2.1.21|3.2.1.-|3.2.1.37|3.2.1.55|3.2.1.23|3.2.1.45	GH3(31-252)	GH3_e197	GH3	N	3
tr|B7GPU8|B7GPU8_BIFLS	-	GT2(19-160)	GT2	GT2	N	3
tr|B7GQ10|B7GQ10_BIFLS	3.2.1.26	GH32(44-352)	GH32_e28	GH32	N	3
tr|B7GQ88|B7GQ88_BIFLS	3.2.1.24	GH38(267-521)	GH38_e38	GH38	N	3
tr|B7GQ89|B7GQ89_BIFLS	3.2.1.24	GH38(274-526)	GH38_e38	GH38	N	3
tr|B7GSD5|B7GSD5_BIFLS	-	GH13_20(49-332)	GH13_e155	GH13	N	3
tr|B7GSM2|B7GSM2_BIFLS	2.4.1.1	GT35(125-836)	GT35_e0	GT35	N	3
tr|B7GSN2|B7GSN2_BIFLS	N	GT119(67-426)	N	GT119	N	2
tr|B7GT34|B7GT34_BIFLS	2.4.1.7	GH13_18(35-379)	GH13_e144	GH13_18	N	3
tr|B7GTK9|B7GTK9_BIFLS	-	GH3(130-356)	GH3_e11	GH3	N	3
tr|B7GTV5|B7GTV5_BIFLS	3.2.1.23	GH2_19(13-576)	GH2_e112	GH2_19	N	3
tr|B7GUI5|B7GUI5_BIFLS	-	GT51(80-269)	GT51_e11	GT51	Y(1-45)	3
tr|B7GUM1|B7GUM1_BIFLS	-	GT32(92-172)	GT32_e125	GT0	N	3
tr|B7GUM2|B7GUM2_BIFLS	-	GT2(3-169)	GT2	GT2	N	3
tr|B7GUM5|B7GUM5_BIFLS	-	GT2(22-153)	GT2	GT2	N	3
tr|C7G5A7|C7G5A7_9FIRM	-	GT26(81-210)	GT26_e54	GT0	N	3
tr|C7G5B8|C7G5B8_9FIRM	-	GT51(85-267)	GT51_e43	GT51	N	3
tr|C7G5S0|C7G5S0_9FIRM	-	GT28(196-349)	GT28_e30	GT28	N	3
tr|C7G5U5|C7G5U5_9FIRM	-	GH18(217-595)	GH18_e106	GH18	N	3
tr|C7G6D5|C7G6D5_9FIRM	5.4.99.11|3.2.1.20|3.2.1.10|3.2.1.-|3.2.1.70	GH13_31(28-377)	GH13_e122	GH13_31	N	3
tr|C7G6D6|C7G6D6_9FIRM	-	GH31_15(171-606)	GH31_e77	GH31_15	N	3
tr|C7G6F8|C7G6F8_9FIRM	3.1.1.-	CE17(37-200)+CBM35inCE17(222-369)	CE17_e0	CE17	N	3
tr|C7G6G1|C7G6G1_9FIRM	2.4.1.319|2.4.1.320	GH130_2(28-325)	GH130_e13	GH130_2	N	3
tr|C7G6M3|C7G6M3_9FIRM	-	GH3(159-390)	GH3_e220	GH3	N	3
tr|C7G6T8|C7G6T8_9FIRM	-	GT2(5-156)	GT2	GT2	N	3
tr|C7G6W6|C7G6W6_9FIRM	3.2.1.88	GH27(165-413)	GH27_e28	GH27	N	3
tr|C7G6W9|C7G6W9_9FIRM	3.2.1.31	GH2_3(8-590)	GH2_e29	GH2_3	N	3
tr|C7G6Z5|C7G6Z5_9FIRM	3.2.1.23|3.2.1.31	GH2_10(39-894)	GH2_e104	GH2_10	N	3
tr|C7G728|C7G728_9FIRM	2.4.1.1	GT35(99-772)	GT35_e0	GT35	N	3
tr|C7G748|C7G748_9FIRM	-	GT2(7-164)	GT2	GT2	N	3
tr|C7G776|C7G776_9FIRM	-	GT2(5-174)	GT2	GT2	N	3
tr|C7G779|C7G779_9FIRM	-	GT2(288-415)+GT2(558-737)	GT2+GT2	GT2	N	3
tr|C7G7A4|C7G7A4_9FIRM	-	GT113(12-343)	GT113_e24	GT113	N	3
tr|C7G7A9|C7G7A9_9FIRM	-	GT2(4-165)	GT2	GT2	N	3
tr|C7G7B0|C7G7B0_9FIRM	-	GT2(8-147)	GT2	GT2	N	3
tr|C7G7M1|C7G7M1_9FIRM	-	GH28(109-469)	GH28_e123	GH28	N	3
tr|C7G8R5|C7G8R5_9FIRM	3.2.1.55	GH51_1(7-502)	GH51_e0	GH51_1	N	3
tr|C7G8V5|C7G8V5_9FIRM	3.2.1.55|3.2.1.8|-	GH43_10(5-276)	GH43_e118+CBM91_e34	CBM91+GH43_10	N	3
tr|C7G8V8|C7G8V8_9FIRM	-	GH27(100-349)	GH27_e10	GH27	N	3
tr|C7G8V9|C7G8V9_9FIRM	3.2.1.55|3.2.1.37|-	GH43_12(6-290)+CBM91(320-512)	GH43_e259+CBM91_e25	CBM91+GH43_12	N	3
tr|C7G8W6|C7G8W6_9FIRM	-	CE1(160-374)+CE1(554-774)	CE1_e22+CE1_e22	N	N	2
tr|C7G8W7|C7G8W7_9FIRM	3.2.1.55|3.2.1.8|3.2.1.-|3.2.1.37	GH43_16(86-402)+CBM6(425-549)	GH43_e261+CBM6_e6	CBM6+GH43_16	N	3
tr|C7G8Z7|C7G8Z7_9FIRM	2.4.1.1	GT35(95-812)	GT35_e0	GT35	N	3
tr|C7G916|C7G916_9FIRM	3.2.1.55|3.2.1.37|-	GH51_2(209-822)+GH43_35(828-1134)	GH51_e49+GH43_e264	GH43_35+GH51_2	N	3
tr|C7G924|C7G924_9FIRM	3.2.1.37	GH39(23-453)	GH39_e74	GH39	N	3
tr|C7G9D3|C7G9D3_9FIRM	-	GT2(5-132)	GT2	GT2	N	3
tr|C7G9I8|C7G9I8_9FIRM	-	GT4(193-333)	GT4_e2567	GT4	N	3
tr|C7GBK4|C7GBK4_9FIRM	-	CE9(3-375)	CE9_e50	CE9	N	3
tr|C7GBY9|C7GBY9_9FIRM	-	GH24(6-137)	GH24_e64	GH24	N	3
tr|C7GCG6|C7GCG6_9FIRM	3.2.1.23	GH42(15-387)	GH42_e17	GH42	N	3
tr|C7GCG7|C7GCG7_9FIRM	3.2.1.51	GH29(12-379)	GH29_e53	GH29	N	3
tr|C7GDV3|C7GDV3_9FIRM	-	GH3(667-872)	GH3_e130	GH3	N	3
tr|C7GDV7|C7GDV7_9FIRM	3.2.1.21|3.2.1.-|3.2.1.37|3.2.1.55|3.2.1.23|3.2.1.45	GH3(33-266)	GH3_e197	GH3	N	3
tr|C7GE32|C7GE32_9FIRM	3.2.1.23	GH2_10(37-911)	GH2_e1	GH2_10	N	3
tr|C7GE41|C7GE41_9FIRM	3.2.1.55|3.2.1.37|-	GH43_12(5-291)+CBM91(324-518)	GH43_e259+CBM91_e25	CBM91+GH43_12	N	3
tr|C7GE42|C7GE42_9FIRM	3.1.1.-	CE17(219-389)	CE17_e0	N	N	2
tr|C7GE43|C7GE43_9FIRM	3.2.1.131	GH115(4-635)	GH115_e0	GH115	N	3
tr|C7GFI1|C7GFI1_9FIRM	2.4.1.211	GH112(6-716)	GH112_e0	GH112	N	3
tr|C7GFI6|C7GFI6_9FIRM	3.2.1.140	GH136(6-423)	GH136_e6	GH136	N	3
tr|C7GFK3|C7GFK3_9FIRM	2.4.1.31	GH94(112-868)	GH94_e3	GH94	N	3
tr|C7GFQ6|C7GFQ6_9FIRM	3.2.1.1|3.2.1.41	CBM82(166-287)+CBM82(294-409)+GH13_39(904-1298)	GH13_e172	CBM82+GH13_39	Y(1-37)	3
tr|G2SWI4|G2SWI4_ROSHA	3.1.1.-	CE17(215-384)	CE17_e0	N	N	2
tr|G2SWJ4|G2SWJ4_ROSHA	3.2.1.131	GH115(6-646)	GH115_e0	GH115	N	3
tr|G2SWJ7|G2SWJ7_ROSHA	2.4.1.31	GH94(59-874)	GH94_e3	GH94	N	3
tr|G2SWN8|G2SWN8_ROSHA	3.2.1.88	GH27(192-441)	GH27_e28	GH27	N	3
tr|G2SWP6|G2SWP6_ROSHA	-	GH105(32-371)	GH105_e32	GH105	N	3
tr|G2SWT3|G2SWT3_ROSHA	2.4.1.97	GH161(4-1037)	GH161_e0	GH161	N	3
tr|G2SXE2|G2SXE2_ROSHA	3.2.1.23	GH2_10(45-942)	GH2_e1	GH2_10	N	3
tr|G2SXW6|G2SXW6_ROSHA	-	GH3(161-392)	GH3_e220	GH3	N	3
tr|G2SXW7|G2SXW7_ROSHA	-	GH1(2-448)	GH1_e86	GH1	N	3
tr|G2SXW9|G2SXW9_ROSHA	3.1.1.6	CE2(129-341)	CE2_e6	CE2	N	3
tr|G2SXX0|G2SXX0_ROSHA	2.4.1.319|2.4.1.320	GH130_2(28-325)	GH130_e13	GH130_2	N	3
tr|G2SXX1|G2SXX1_ROSHA	2.4.1.281	GH130_1(48-359)	GH130_e6	GH130_1	N	3
tr|G2SY74|G2SY74_ROSHA	-	GH13_36(106-437)	GH13_e162	GH13_36	Y(1-29)	3
tr|G2SYK6|G2SYK6_ROSHA	-	GH31_2(235-689)	GH31_e60	GH31_2	N	3
tr|G2SZD2|G2SZD2_ROSHA	5.4.99.11|3.2.1.20|3.2.1.10|3.2.1.-|3.2.1.70	GH13_31(28-375)	GH13_e122	GH13_31	N	3
tr|G2SZP5|G2SZP5_ROSHA	-	GT2(7-169)	GT2	GT2	N	3
tr|G2SZP6|G2SZP6_ROSHA	-	GT2(7-128)	GT2	GT2	N	3
tr|G2T0C6|G2T0C6_ROSHA	2.4.1.1	GT35(77-750)	GT35_e0	GT35	N	3
tr|G2T0S1|G2T0S1_ROSHA	-	GH43_4(62-412)	GH43_e230	GH43_4	Y(1-29)	3
tr|G2T0S9|G2T0S9_ROSHA	3.2.1.55	GH51_1(5-503)	GH51_e19	GH51_1	N	3
tr|G2T0V2|G2T0V2_ROSHA	2.4.1.211	GH112(6-719)	GH112_e0	GH112	N	3
tr|G2T0Y2|G2T0Y2_ROSHA	2.4.1.1	GT35(95-812)	GT35_e0	GT35	N	3
tr|G2T1Y5|G2T1Y5_ROSHA	-	GT51(85-266)	GT51_e43	GT51	N	3
tr|G2T201|G2T201_ROSHA	2.4.1.20|2.4.1.49	GH94(2-810)	GH94_e12	GH94	N	3
tr|G2T2R1|G2T2R1_ROSHA	2.4.1.25	GH77(2-459)	GH77_e1	GH77	N	3
tr|G2T3U7|G2T3U7_ROSHA	3.2.1.23|3.2.1.31	GH2_10(39-894)	GH2_e104	GH2_10	N	3
tr|G2T442|G2T442_ROSHA	3.2.1.-	GH13_20(31-323)	GH13_e141	GH13	N	3
tr|G2T450|G2T450_ROSHA	-	GT2(8-175)	GT2	GT2	N	3
tr|G2T482|G2T482_ROSHA	-	GT2(4-166)	GT2	GT2	N	3
tr|G2T521|G2T521_ROSHA	3.2.1.21|3.2.1.37|3.2.1.-|3.2.1.74	GH3(559-768)	GH3_e165	GH3	N	3
tr|G2T560|G2T560_ROSHA	-	GT111(57-224)+GT8(258-520)	GT111_e16+GT8_e174	GT111+GT8	N	3
tr|G2T568|G2T568_ROSHA	-	GT2(6-134)	GT2	GT2	N	3
tr|G2T569|G2T569_ROSHA	-	GT2(4-156)	GT2	GT2	N	3
tr|G2T5P0|G2T5P0_ROSHA	-	GH79(74-509)	GH79_e2	GH79	N	3
tr|G2T5R6|G2T5R6_ROSHA	3.2.1.68|2.4.1.25|3.2.1.-	GH13_11(190-543)	CBM48_e3+GH13_e48	CBM48+GH13_11	N	3
tr|G2T5W8|G2T5W8_ROSHA	-	GH18(220-574)	GH18_e106	GH18	N	3
tr|A0AAQ2Z5B8|A0AAQ2Z5B8_9FIRM	-	N	CBM50_e430	CBM50	N	2
tr|A0AAQ2Z674|A0AAQ2Z674_9FIRM	-	N	GT2	GT2	N	2
tr|B7GPE2|B7GPE2_BIFLS	-	N	GH23_e314	GH0	Y(1-31)	2
tr|C7GFA1|C7GFA1_9FIRM	-	N	CBM50_e564	CBM50	N	2
tr|G2T447|G2T447_ROSHA	-	N	GT2	GT2	N	2
tr|B7GN89|B7GN89_BIFLS	N	N	N	CBM48+GH13_9	N	1
sp|B7GNA3|IF2_BIFLS	N	N	N	GT2	N	1
tr|B7GNN3|B7GNN3_BIFLS	N	N	N	GH42	N	1
tr|B7GNT8|B7GNT8_BIFLS	N	N	N	GT4	Y(1-28)	1
tr|B7GPG9|B7GPG9_BIFLS	N	N	N	CBM50+GH25	N	1
tr|B7GPN0|B7GPN0_BIFLS	N	N	N	287449	N	1
sp|B7GPR8|CH60_BIFLS	N	N	N	GH13	N	1
tr|B7GQM8|B7GQM8_BIFLS	N	N	N	GT4	N	1
sp|B7GR13|SYT_BIFLS	N	N	N	GH28	N	1
tr|B7GSG9|B7GSG9_BIFLS	N	N	N	GT2	N	1
tr|B7GSW9|B7GSW9_BIFLS	N	N	N	13268	N	1
sp|B7GT76|LEU1_BIFLS	N	N	N	843	N	1
sp|B7GTK2|ENO_BIFLS	N	N	N	GH28	N	1
sp|B7GTZ3|ATPB_BIFLS	N	N	N	19768	N	1
tr|B7GU47|B7GU47_BIFLS	N	N	N	118117	N	1
tr|B7GUG6|B7GUG6_BIFLS	N	N	N	GH1	N	1
tr|B7GQ40|B7GQ40_BIFLS	N	N	N	GH13_30	N	1
tr|B7GT84|B7GT84_BIFLS	N	N	N	CE9	N	1
tr|B7GUG9|B7GUG9_BIFLS	N	N	N	GH16	N	1
tr|B7GUL6|B7GUL6_BIFLS	N	N	N	GT4	N	1
tr|A1A3V2|A1A3V2_BIFAA	N	N	N	GH42	N	1
tr|A1A1A7|A1A1A7_BIFAA	N	N	N	391379	N	1
tr|A1A3R4|A1A3R4_BIFAA	N	N	N	GH49	N	1
tr|G2SWP8|G2SWP8_ROSHA	N	N	N	CBM50	N	1
tr|G2SXX2|G2SXX2_ROSHA	N	N	N	GH130_1	N	1
tr|G2SZ65|G2SZ65_ROSHA	N	N	N	GH84	N	1
tr|G2T0Y1|G2T0Y1_ROSHA	N	N	N	287449	N	1
tr|G2T147|G2T147_ROSHA	N	N	N	201643	N	1
tr|G2T1Q1|G2T1Q1_ROSHA	N	N	N	GT4	N	1
tr|G2T211|G2T211_ROSHA	N	N	N	GH5_11	N	1
tr|G2T259|G2T259_ROSHA	N	N	N	GH13_30	N	1
tr|G2T2E2|G2T2E2_ROSHA	N	N	N	GT2	N	1
tr|G2SXX9|G2SXX9_ROSHA	N	N	N	GH130_1	N	1
tr|G2T013|G2T013_ROSHA	N	N	N	510492	N	1
tr|G2T254|G2T254_ROSHA	N	N	N	599368	N	1
tr|A0AAQ2U9H6|A0AAQ2U9H6_9FIRM	N	N	N	GH130_3	N	1
tr|A0AAQ2UA76|A0AAQ2UA76_9FIRM	N	N	N	GH5_11	N	1
tr|A0AAQ2UAD1|A0AAQ2UAD1_9FIRM	N	N	N	GH1	N	1
tr|A0AAQ2UB09|A0AAQ2UB09_9FIRM	N	N	N	GT2	N	1
tr|A0AAQ2UBI5|A0AAQ2UBI5_9FIRM	N	N	N	GT119	N	1
tr|A0AAQ2UBR1|A0AAQ2UBR1_9FIRM	N	N	N	GH0	Y(1-34)	1
tr|A0AAQ2UC04|A0AAQ2UC04_9FIRM	N	N	N	GH13_30	N	1
tr|A0AAQ2UD24|A0AAQ2UD24_9FIRM	N	N	N	GT4	N	1
tr|A0AAQ2UDG6|A0AAQ2UDG6_9FIRM	N	N	N	CBM50	N	1
tr|A0AAQ2UF10|A0AAQ2UF10_9FIRM	N	N	N	CBM50	N	1
tr|A0AAQ2UFN3|A0AAQ2UFN3_9FIRM	N	N	N	CBM35	Y(1-35)	1
tr|A0AAQ2UFV3|A0AAQ2UFV3_9FIRM	N	N	N	GT1	N	1
tr|A0AAQ2UGX9|A0AAQ2UGX9_9FIRM	N	N	N	GH0	N	1
tr|A0AAQ2Z755|A0AAQ2Z755_9FIRM	N	N	N	GH13	N	1
tr|A0AAQ2Z8S2|A0AAQ2Z8S2_9FIRM	N	N	N	GH13_31	N	1
tr|C7G557|C7G557_9FIRM	N	N	N	13268	N	1
tr|C7G5J4|C7G5J4_9FIRM	N	N	N	GT2	N	1
tr|C7G5P4|C7G5P4_9FIRM	N	N	N	GT119	N	1
tr|C7G6E9|C7G6E9_9FIRM	N	N	N	599368	N	1
tr|C7G6U2|C7G6U2_9FIRM	N	N	N	GT0	N	1
tr|C7G7P1|C7G7P1_9FIRM	N	N	N	CBM50	N	1
tr|C7G8F2|C7G8F2_9FIRM	N	N	N	GH130_1	N	1
tr|C7G8U3|C7G8U3_9FIRM	N	N	N	GH13_11	N	1
tr|C7G9F3|C7G9F3_9FIRM	N	N	N	GT4	N	1
tr|C7GAI2|C7GAI2_9FIRM	N	N	N	201643	N	1
tr|C7GCQ4|C7GCQ4_9FIRM	N	N	N	GH13_8+GH13_8+651341	N	1
tr|C7GDS1|C7GDS1_9FIRM	N	N	N	GH13_31	N	1
tr|C7GFH4|C7GFH4_9FIRM	N	N	N	GT4	N	1
tr|C7GGI6|C7GGI6_9FIRM	N	N	N	CE8	N	1
tr|A0AAQ2Z601|A0AAQ2Z601_9FIRM	N	N	N	CBM35	Y(1-34)	1
tr|C7G6G3|C7G6G3_9FIRM	N	N	N	GH130_1	N	1
tr|C7G6G9|C7G6G9_9FIRM	N	N	N	GH130_1	N	1
tr|C0FTC1|C0FTC1_9FIRM	N	N	N	118117	N	1
tr|C0FZE8|C0FZE8_9FIRM	N	N	N	GT2	N	1
tr|C0FVU9|C0FVU9_9FIRM	N	N	N	GH1	N	1
